Phase,StartTime,EndTime,Duration,Phase_termination_details
2,0.2,49.2,49.0,CoordinationTimeOut
3,55.8,88.7,32.900000000000006,GapOut
4,95.3,126.7,31.400000000000006,GapOut
1,133.3,138.2,4.899999999999977,MinOut
2,144.8,229.3,84.5,CoordinationTimeOut
3,235.9,271.9,35.99999999999997,GapOut
4,278.5,298.5,20.0,GapOut
1,305.1,319.2,14.099999999999966,GapOut
2,325.8,409.3,83.5,CoordinationTimeOut
3,415.9,442.5,26.600000000000023,GapOut
4,449.1,481.5,32.39999999999998,GapOut
1,488.1,507.4,19.299999999999955,GapOut
2,514.0,589.3,75.29999999999995,CoordinationTimeOut
3,595.9,632.3,36.39999999999998,Other
4,638.9,664.0,25.100000000000023,GapOut
1,670.6,704.5,33.89999999999998,MaxOut
2,711.1,769.3,58.19999999999993,CoordinationTimeOut
3,775.9,812.3,36.39999999999998,Other
4,818.9,847.4,28.5,GapOut
1,854.0,887.9,33.89999999999998,MaxOut
2,894.5,949.3,54.799999999999955,CoordinationTimeOut
3,955.9,985.0,29.100000000000023,GapOut
4,991.6,1019.7,28.100000000000023,GapOut
1,1026.3,1060.2,33.90000000000009,MaxOut
2,1066.8,1129.3,62.5,CoordinationTimeOut
3,1135.9,1170.7,34.799999999999955,GapOut
4,1177.3,1211.2,33.90000000000009,MaxOut
1,1217.8,1248.3,30.5,CoordinationTimeOut
2,1254.9,1309.3,54.399999999999864,CoordinationTimeOut
3,1315.9,1352.3,36.399999999999864,Other
4,1358.9,1379.5,20.59999999999991,GapOut
1,1386.1,1417.9,31.800000000000182,GapOut
2,1424.5,1489.3,64.79999999999995,CoordinationTimeOut
3,1495.9,1532.3,36.399999999999864,Other
4,1538.9,1560.8,21.899999999999864,GapOut
1,1567.4,1601.3,33.899999999999864,MaxOut
2,1607.9,1669.3,61.399999999999864,CoordinationTimeOut
3,1675.9,1712.0,36.09999999999991,GapOut
4,1718.6,1744.9,26.300000000000182,GapOut
1,1751.5,1782.6,31.09999999999991,GapOut
